Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Length of Fwd Packets, Total Length of Bwd Packets, Label
192.168.10.5, 49152, 192.168.10.50, 22, 6, 07/07/2017 08:30:00, 45000, 1280, 4200, SSH-Patator
192.168.10.5, 49154, 192.168.10.50, 22, 6, 07/07/2017 08:30:15, 38000, 960, 2400, SSH-Patator
192.168.10.5, 49156, 192.168.10.50, 22, 6, 07/07/2017 08:30:30, 41000, 1020, 2600, SSH-Patator
192.168.10.8, 51200, 192.168.10.50, 80, 6, 07/07/2017 08:45:00, 120000, 45000, 89000, DoS Hulk
192.168.10.8, 51202, 192.168.10.50, 80, 6, 07/07/2017 08:45:05, 95000, 38000, 72000, DoS Hulk
192.168.10.14, 52100, 192.168.10.50, 80, 6, 07/07/2017 09:10:00, 85000, 3200, 1400, BENIGN
192.168.10.19, 60100, 192.168.10.20, 5432, 6, 07/07/2017 09:25:00, 62000, 1500, 3400, PortScan
192.168.10.19, 60101, 192.168.10.20, 8080, 6, 07/07/2017 09:25:01, 15000, 240, 0, PortScan
192.168.10.19, 60102, 192.168.10.20, 3306, 6, 07/07/2017 09:25:02, 18000, 280, 0, PortScan
192.168.10.25, 48200, 192.168.10.50, 443, 6, 07/07/2017 09:30:00, 210000, 18500, 45000, BENIGN
192.168.10.30, 54110, 192.168.10.50, 80, 6, 07/07/2017 10:00:00, 310000, 84000, 160000, DDoS
192.168.10.31, 54112, 192.168.10.50, 80, 6, 07/07/2017 10:00:02, 290000, 78000, 145000, DDoS
192.168.10.50, 58210, 192.168.10.1, 53, 17, 07/07/2017 10:15:00, 2500, 180, 420, BENIGN
192.168.10.99, 44332, 192.168.10.50, 80, 6, 07/07/2017 11:20:00, 78000, 4200, 8500, Web Attack - SQL Injection
